Raw,Raw_Translated,Clean,Clean_Translated,Tag,,,,,
Contagiondoc Yukano po ba yung Ibig sabihin ng Immune drugresistance Paano po nagkakaroon ng Drug Resistance ano po ba Ang Antibiotic bakit po Doc yukang Flu bumabalik after ng Curepaki Sagot po DocYuk Ay Ano po ba yung infection yung kilala ko may infection sa Puki,Contagiondoc Yukano does that mean immune drugs how do you have a drug resistance what is the antibiotic why doc yurong flu returns after the curepaki answer po doko is what the infection i know i know i have an infection in the vagina,Contagiondoc Yukano po ba yung Ibig sabihin ng Immune drugresistance Paano po nagkakaroon ng Drug Resistance ano po ba Ang Antibiotic bakit po Doc yukang Flu bumabalik after ng Curepaki Sagot po DocYuk Ay Ano po ba yung infection yung kilala ko may infection sa Puki,Contagiondoc Yukano does that mean immune drugs how do you have a drug resistance what is the antibiotic why doc yurong flu returns after the curepaki answer po doko is what the infection i know i know i have an infection in the vagina,0,,,,,
cute cute ko dito So bulinggit,I'm so cute here so bulinggit,cute cute ko dito So bulinggit,I'm so cute here so bulinggit,0,,,,,
Cutieeee,Cutieeee,Cutie,Cutie,0,,,,,
Dadating tayo dyan be iloveyou,We will come there be iloveyou,Dadating tayo diyan be i love you,We will come there be i love you,0,,,,,
Dagdag tax Asan na yung gold HAHA,Extra tax asan na yung gold haha,Dagdag tax nasaan na yung gold HAHA,Extra tax where is the gold haha,0,,,,,
dami alam ah,Dami Alam ah,dami alam ah,Dami Alam ah,1,,,,,
Dami pang kulang dyan ung iba nasa cpu sa loob at ibabaw at ung iba naman sa room display haha sila ang nasa pc kasi sila favorite ko,There are many more less than others on CPU inside and surface and others on room display haha ​​they are on PC because they are my favorite,Dami pang kulang dyan ung iba nasa cpu sa loob at ibabaw at ung iba naman sa room display haha sila ang nasa pc kasi sila favorite ko,There are many more less than others on CPU inside and surface and others on room display haha ​​they are on PC because they are my favorite,0,,,,,
Daming group chat ng gadgets plus yung sa sap and info ang gulo,Many group chats of gadgets plus the sap and info the mess,Daming group chat ng gadgets plus yung sa sap and info. ang gulo,Many group chats of gadgets plus sap and info. The mess,0,,,,,
Daming meeting ngayon jusko,Many meetings now jusko,Daming meeting ngayon jusko,Many meetings now jusko,0,,,,,
dapat pala nag mall ako bago umuwi hay,I should have went to the mall before going home,dapat pala nag mall ako bago umuwi hay,I should have went to the mall before going home,0,,,,,
Dasurrrrrv Unang patikim palang yan Oh well breathe well,Dasurrrrrv first taste palang yan oh well breathe well,Dasurrrrrv. Unang patikim palang yan. Oh well breathe well,Dasurrrrrv. That's the first taste. Oh well breathe well,0,,,,,
date with the gurlssss,date with the gurlssss,date with the girls,date with the girls,0,,,,,
Day 3 Lego,Day 3 Lego,Day 3 Lego,Day 3 Lego,0,,,,,
Dead,Dead,Dead,Dead,1,,,,,
Demonyo Keana ha HAHAHAHAHAHAAH,Demon keana ha hahahahahahaah,Demonyo Keana ha HAHAHAHAHAHAAH,Demon keana ha hahahahahahaah,1,,,,,
di ako makatulog,I can not sleep,di ako makatulog,I can not sleep,0,,,,,
di ako pwede magkasakit alis pa kami ni janselle sa sat,I can't get sick and Janselle and I are still in SAT,di ako pwede magkasakit. aalis pa kami ni janselle sa sat.,I can't get sick. Janselle and I are still leaving Sat.,0,,,,,
di ka kasi deserving igalang biach,You are not deserving to respect Biach,di ka kasi deserving isa kang bitch,You are not deserving of a bitch,1,,,,,
di ko kasalanan naiyak ka dito ah wag kang bobo jan,it's not my fault you cry here ah don't you stupid jan,di ko kasalanan naiyak ka dito ah wag kang bobo diyan,it's not my fault you cry here ah don't you be stupid there,1,,,,,
Di na babalik sa kung pano nya tinanong kung ano pangalan ko at kung bakit ako maputi,Not going back to what he asked for my name and why I was white,Di na babalik sa kung pano nya tinanong kung ano pangalan ko at kung bakit ako maputi,Not going back to what he asked for my name and why I was white,0,,,,,
Di na kase kailangan,Need,Di na kasi kailangan,It is not necessary,0,,,,,
Di na kayang tapalan ng retail therapy at escapism yung overwhelming feeling ko of dread ngayong nakaupo na ang mga demonyo sa palasyo,Retail Therapy and Escapism can no longer be overwhelmed by my overwhelming feeling of dread now that demons are sitting,Di na kayang tapalan ng retail therapy at escapism yung overwhelming feeling ko of dread ngayong nakaupo na ang mga demonyo sa palasyo,Retail Therapy and Escapism can no longer be overwhelmed by my overwhelming feeling of dread now that demons are sitting,1,,,,,
Di nya alam na discuss na nya sakin to,He didn't know that he was discussing,Di niya alam na discuss na nya sakin to,He didn't know he was discussing,0,,,,,
Di po ko papalag pag chinoke niyo ko,I'm not going to get you a chinoke,Di po ko papalag pag choke niyo ko,I will not let you go when I choke,1,,,,,
Dili man gane mo ka tarong og klase taga sabado nalang gane ulol ninyo,You don't even have the right classes from Saturday,Dili man gane mo ka tarong og klase taga sabado nalang gane ulol ninyo,You don't even have the right classes from Saturday,1,,,,,
Disadvantage kapag alam na ng mga kapitbahay mo na umiinom ka tatawagin ka sa bahay para uminom Hahaha tago is real talaga pauwi,Disadvantage When your neighbors know that you drink you will be called home to drink hahaha Tago is real really home,Disadvantage kapag alam na ng mga kapitbahay mo na umiinom ka tatawagin ka sa bahay para uminom Hahaha tago is real talaga pauwi,Disadvantage When your neighbors know that you drink you will be called home to drink hahaha Tago is real really home,0,,,,,
disadvantage mag isa hahhaha puta wala magbdadala skin s ospital worst case scenario,Disadvantage Mag Hahhaha Puta No Skin Skin s Hospital Worst Case Scenario,"disadvantage mag isa hahhaha puta wala mag dadala skin sa ospital, worst case scenario","Disadvantage one hahhaha Puta nothing to bring skin to the hospital, worst case scenario",1,,,,,
display lang talaga middles ng Ateneo haha,Ateneo's display is really middle -aged haha,display lang talaga middles ng Ateneo haha,Ateneo's display is really middle -aged haha,0,,,,,
Do lang Sana walang die,Do just hope no die,Do lang Sana walang die,Do just hope no die,0,,,,,
Doc may baliw,Doc may be mad,Doc may baliw,Doc may be mad,1,,,,,
Done na po,Done na po,Done na po,Done na po,0,,,,,
Dont forget that maybe youre the lighthouse in someones storm Major Lighthouse Malapascua Island,Dont forget that maybe youre the lighthouse in someones storm Major Lighthouse Malapascua Island,Dont forget that maybe youre the lighthouse in someones storm Major Lighthouse Malapascua Island,Dont forget that maybe youre the lighthouse in someones storm Major Lighthouse Malapascua Island,0,,,,,
Dont stare at me like that,Dont stare at me like that,Dont stare at me like that,Dont stare at me like that,0,,,,,
e15 Yung mas masarap,e15 the more delicious,e15 Yung mas masarap,e15 the more delicious,0,,,,,
eertt Ulol,Eertt Ulol,eertt Ulol,Eertt Ulol,1,,,,,
eh paano kung hindi hindi ka nakilala,Eh what if you never met,eh paano kung hindi hindi ka nakilala,Eh what if you never met,0,,,,,
Either way sana gumamit ng condom yun mga magulang nila para di na lumabas sa mundo mga demonyo lahi nila,Either way to use their parents' condom,Either way sana gumamit ng condom yun mga magulang nila para di na lumabas sa mundo mga demonyo lahi nila,Either way to use their parents' condom,1,,,,,
Either way sana gumamit ng condom yun mga magulang nila para di na lumabas sa mundo mga demonyo lahi nila,Either way to use their parents' condom,Either way sana gumamit ng condom yun mga magulang nila. para di na lumabas sa mundo mga demonyo lahi nila,Either way they would use their parents' condoms. for not going out of the world demons they race,1,,,,,
Ekis sakin ganon lalakiMarami namn iba bat paako mgtitiis sa wala akong mapapalaUlol ka,I have a lot of people who are so different from the fact that I have nothing to do with you,Ekis sakin ganon lalakiMarami namn iba bat paako mgtitiis sa wala akong mapapalaUlol ka,I have a lot of people who are so different from the fact that I have nothing to do with you,1,,,,,
Ekis talaga si tinder at bumble bio nila na puro grammatical errors,Tinder and their bumble bio are really grammatical errors,Ekis talaga si tinder at bumble bio nila na puro grammatical errors,Tinder and their bumble bio are really grammatical errors,0,,,,,
Epal mo talaga baho kahit kailan,Apple you really smell bad,Epal mo talaga baho kahit kailan,Apple you really smell bad,1,,,,,
Especially sa material ug physical,Especially in Material and Physical,Especially sa material yung physical,Especially in the physical material,0,,,,,
Eto may 15 million din po ba,Eto May 15 Million Din Po Ba,Eto may 15 million din po ba,Eto May 15 Million Din Po Ba,0,,,,,
EUNKWANG UNG I LOVE YOU MO NAKAKA ULOLBTOB KCON CHICAGO DAY2BTOBKCON2022,Eunkwang ung i love you mo nak ulolbtob kcon chicago day2btobkcon2022,EUNKWANG UNG I LOVE YOU MO NAKAKA ULOLBTOB KCON CHICAGO DAY2BTOBKCON2022,Eunkwang ung i love you mo nak ulolbtob kcon chicago day2btobkcon2022,1,,,,,
Every day I get the same question How are you I always answer them with I am good or doing great but the truth is that Im barely coping Ive been miserably living my life for the past weeks I am trying to be fine and I do get days and times where Im sane,Every day I get the same question How are you I always answer them with I am good or doing great but the truth is that Im barely coping Ive been miserably living my life for the past weeks I am trying to be fine and I do get days and times where Im sane,Every day I get the same question How are you I always answer them with I am good or doing great but the truth is that Im barely coping Ive been miserably living my life for the past weeks I am trying to be fine and I do get days and times where Im sane,Every day I get the same question How are you I always answer them with I am good or doing great but the truth is that Im barely coping Ive been miserably living my life for the past weeks I am trying to be fine and I do get days and times where Im sane,1,,,,,
Everything happens for a reason Kakayanin kahit Mahirap,Everything happens for a reason to be able to be difficult,Everything happens for a reason. Kakayanin kahit mahirap,Everything happens for a reason. It can be difficult,0,,,,,
Exactly,Exactly,Exactly,Exactly,0,,,,,
Except if they deserve it,Except if they deserve it,Except if they deserve it,Except if they deserve it,0,,,,,
Excuse me katatapos mo lang maligo,Excuse me you just finished bathing,Excuse me katatapos mo lang maligo,Excuse me you just finished bathing,0,,,,,
Feeling a little drowsy,Feeling a little drowsy,Feeling a little drowsy,Feeling a little drowsy,0,,,,,
feelin the sunshine,feelin the sunshine,feeling the sunshine,feeling the sunshine,0,,,,,
feels so uninspired,feels so uninspired,feels so uninspired,feels so uninspired,1,,,,,
final exam na bukas wala pa ako review,FINAL EXAM TO OPEN ME NO REVIEW,final exam na bukas wala pa ako review,FINAL EXAM TO OPEN ME NO REVIEW,0,,,,,
Final Interview later,Final Interview later,Final Interview later,Final Interview later,0,,,,,
Final Pitching ready na raw kami,Final Pitching We're Ready to Raw,Final Pitching ready na raw kami,Final Pitching We're Ready to Raw,0,,,,,
Finally a legitimate block From that twin towers Mas maganda pa block timing ni Baron and Dy noong peak nila Gagate Cruz lets go UAAPSeason84volleyball,Finally a legitimate block from that twin towers Baron and Dy's Block timing was better when they were gagate cruz lets go uaapseason84volleyball,Finally a legitimate block From that twin towers Mas maganda pa block timing ni Baron and Dy noong peak nila Gagate Cruz lets go UAAPSeason84volleyball,Finally a legitimate block from that twin towers Baron and Dy's Block timing was better when they were gagate cruz lets go uaapseason84volleyball,0,,,,,
first time ko naranasan na maflat yung gulong tapos sa star toll pa Bilad sa arawan ampota,The first time I experienced the wheel after the star toll yet in the ampota,"first time ko naranasan na maflat yung gulong tapos sa star toll pa bilad sa arawan, puta","The first time I experienced the tire of the wheel after the star toll yet in the air, the hooker",1,,,,,
First time nako magluto ug tahong THANKS G it went well,First time i cook and tahong thanks g it went well,First time na ko magluto ng tahong. THANKS G. it went well,It's the first time I cook the mussels. Thanks G. it went well,0,,,,,
Flooded like what,Flooded like what,Flooded like what,Flooded like what,0,,,,,
focused po tayo sa oblicon for today bawal po kalat,Let's focus on Oblicon for today,focused po tayo sa oblicon for today bawal po kalat,Let's focus on Oblicon for today,0,,,,,
For I know the plans I have for you declares the Lord plans to prosper you and not to harm you plans to give you hope and a future,For I know the plans I have for you declares the Lord plans to prosper you and not to harm you plans to give you hope and a future,For I know the plans I have for you declares the Lord plans to prosper you and not to harm you plans to give you hope and a future,For I know the plans I have for you declares the Lord plans to prosper you and not to harm you plans to give you hope and a future,0,,,,,
From time to time we need to remind ourselves to put things back into our peripherals especially when the the world recognizes us only for our accomplishment but drag us down when we fail to reach their expectations from us,From time to time we need to remind ourselves to put things back into our peripherals especially when the the world recognizes us only for our accomplishment but drag us down when we fail to reach their expectations from us,From time to time we need to remind ourselves to put things back into our peripherals especially when the the world recognizes us only for our accomplishment but drag us down when we fail to reach their expectations from us,From time to time we need to remind ourselves to put things back into our peripherals especially when the the world recognizes us only for our accomplishment but drag us down when we fail to reach their expectations from us,0,,,,,
